0.0255,127.6
0.026,115.2
0.0265,118.2
0.027,117.8
0.0275,118.0
0.028,112.2
0.0285,113.2
0.029,114.1
0.0295,115.6
0.03,117.8
0.0305,112.9
0.031,114.0
0.0315,112.9
0.032,113.5
0.0325,120.1
0.033,114.0
0.0335,112.0
0.034,112.4
0.0345,113.1
0.035,112.6
0.0355,112.4
0.036,111.8
0.0365,111.7
0.037,112.3
0.0375,110.9
0.038,112.3
0.0385,114.5
0.039,139.0
0.0395,116.3
0.04,113.1
0.0405,113.6
0.041,115.9
0.0415,114.6
0.042,111.5
0.0425,111.9
0.043,111.9
0.0435,111.2
0.044,111.4
0.0445,111.9
0.045,112.6
0.0455,112.4
0.046,111.7
0.0465,112.4
0.047,114.5
0.0475,122.7
0.048,120.6
0.0485,114.4
0.049,114.4
0.0495,115.8
0.05,117.7
