0.0255,60.3
0.026,57.7
0.0265,57.4
0.027,57.3
0.0275,56.9
0.028,57.1
0.0285,57.3
0.029,57.1
0.0295,57.2
0.03,58.1
0.0305,57.6
0.031,57.2
0.0315,59.7
0.032,60.3
0.0325,59.8
0.033,59.7
0.0335,59.4
0.034,59.7
0.0345,59.4
0.035,59.6
0.0355,59.9
0.036,59.2
0.0365,59.8
0.037,60.0
0.0375,59.6
0.038,59.1
0.0385,59.5
0.039,60.2
0.0395,59.6
0.04,59.5
0.0405,59.6
0.041,59.3
0.0415,59.6
0.042,59.6
0.0425,59.4
0.043,59.6
0.0435,59.7
0.044,60.0
0.0445,59.8
0.045,59.7
0.0455,59.5
0.046,59.7
0.0465,59.6
0.047,59.5
0.0475,59.9
0.048,59.8
0.0485,59.5
0.049,59.7
0.0495,59.8
0.05,59.8
